question,level,label_id
Why are graph embeddings preferred over raw graph data when training AI models?,beginner,0
"During adversarial training, what specific challenges arise in coordinating the learning rates for both the main model and the adversarial perturbation generator to achieve stable convergence and robust performance?",advanced,2
"In a real-time anomaly detection system processing streaming data, what architectural challenges arise when attempting to incrementally update a hierarchical clustering model, and what strategies can mitigate the computational burden of maintaining the dendrogram structure?",advanced,2
"Why might a standard cross-entropy loss be insufficient for classification in object detection, leading to the use of specialized loss functions like Focal Loss?",intermediate,1
"For a new image classification task with limited labeled data, why might using a pre-trained CNN as a feature extractor be preferred over training a new network from scratch?",intermediate,1
"What is an activation function in a neural network, and why is it important?",beginner,0
Why might a large language model give a wrong answer if you don't use chain of thought prompting for a complex task?,beginner,0
"Imagine a simple flowchart for deciding what to eat. How many ""yes/no"" steps would represent the depth of a decision tree?",beginner,0
"When an object detection system finds a cat, what two main pieces of information does it provide about the cat?",beginner,0
"Beyond simple proximity, what are the fundamental limitations of current graph embedding techniques in preserving specific graph theoretical properties, such as graph isomorphism or the presence of dense subgraphs, especially in low-dimensional spaces?",advanced,2
"If a robot learns to navigate a maze, how does its interaction with the maze illustrate agent-environment interaction?",beginner,0
"Beyond simply executing a plan, how can an agent's architecture incorporate meta-planning capabilities to dynamically select or adapt its planning strategy based on real-time assessments of environmental dynamics, computational resources, or task novelty?",advanced,2
How does selecting between Euclidean and Cosine similarity metrics influence nearest neighbor retrieval for different types of vector data?,intermediate,1
How is the hidden state different from the direct input or final output of an RNN?,beginner,0
"Beyond first-order methods, how do second-order optimization techniques fundamentally alter the parameter update mechanism in gradient descent, and what are their practical implications for hyperparameter tuning in complex models?",advanced,2
Why would a model struggle to summarize a long document if it couldn't understand the sequence of sentences?,beginner,0
How does breaking down a long document into smaller pieces help a RAG system answer questions?,beginner,0
"How do adversarial attacks exploit vulnerabilities in deep neural networks for image classification, and what are the theoretical implications of their existence for model robustness?",advanced,2
Can you describe the retriever-generator pipeline using a simple real-world analogy?,beginner,0
What does it mean for gradient descent to 'converge' when training a model?,beginner,0
"What does it mean if a machine learning model is underfit, and how can you spot it?",beginner,0
How can adjusting the batch size during training impact the manifestation of vanishing gradients in a deep neural network?,intermediate,1
"How do Query, Key, and Value matrices facilitate the computation of attention scores within a Transformer block?",intermediate,1
"If a GAN is like a counterfeiter and a detective, what role does adversarial training play in their game?",beginner,0
"When a neural network makes an error, how does the chain rule help it understand which parts to change?",beginner,0
"In high-stakes text classification, how do models maintain robustness against subtle adversarial perturbations or concept drift in real-world data streams?",advanced,2
"When constructing decision trees on severely imbalanced datasets, how can the standard information gain metric lead to suboptimal splits, potentially overlooking important patterns in the minority class?",advanced,2
How does the choice of linkage criterion impact the resulting dendrogram and the final cluster assignments in hierarchical clustering?,intermediate,1
"In a federated learning setup with heterogeneous client data and varying communication bandwidths, how can local model updates and aggregation strategies inadvertently promote overfitting to specific client data distributions, and what architectural considerations can mitigate this?",advanced,2
"If an autoencoder consistently reconstructs noisy or blurry outputs, what common issues might be present in its architecture or training process?",intermediate,1
"How does framing a loss function through a probabilistic lens, such as Maximum Likelihood Estimation, provide a principled approach to model design and uncertainty quantification in complex machine learning systems?",advanced,2
